V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Outcome
213.5,0,174.2,154.6,23901.16,215,11.7,1052.3,775.5,56,GA,51.43
213.5,0,174.2,154.6,23901.16,115,11.7,1052.3,775.5,100,GLM,59.3
277.2,97.8,24.5,160.7,25824.49,139,11.2,1061.7,782.5,3,GA,30.45
277.2,97.8,24.5,160.7,25824.49,281,11.2,1061.7,782.5,14,GA,47.71
277.2,97.8,24.5,160.7,25824.49,96,11.2,1061.7,782.5,28,GLM,63.14
277.2,97.8,24.5,160.7,25824.49,207,11.2,1061.7,782.5,56,GLM,66.82
277.2,97.8,24.5,160.7,25824.49,15,11.2,1061.7,782.5,100,GLM,66.95
218.2,54.6,123.8,140.8,19824.64,328,11.9,1075.7,792.7,3,GLM,27.42
218.2,54.6,123.8,140.8,19824.64,262,11.9,1075.7,792.7,14,GA,35.96
218.2,54.6,123.8,140.8,19824.64,279,11.9,1075.7,792.7,28,GLM,55.51
218.2,54.6,123.8,140.8,19824.64,44,11.9,1075.7,792.7,56,GLM,61.99
218.2,54.6,123.8,140.8,19824.64,129,11.9,1075.7,792.7,100,GLM,63.53
214.9,53.8,121.9,155.6,24211.36,299,9.6,1014.3,780.6,3,GA,18.02
214.9,53.8,121.9,155.6,24211.36,258,9.6,1014.3,780.6,14,GA,38.6
214.9,53.8,121.9,155.6,24211.36,320,9.6,1014.3,780.6,28,GLM,52.2
214.9,53.8,121.9,155.6,24211.36,63,9.6,1014.3,780.6,56,GA,53.96
214.9,53.8,121.9,155.6,24211.36,23,9.6,1014.3,780.6,100,GLM,56.63
218.9,0,124.1,158.5,25122.25,134,11.3,1078.7,794.9,3,GA,15.34
218.9,0,124.1,158.5,25122.25,190,11.3,1078.7,794.9,14,GLM,26.05
218.9,0,124.1,158.5,25122.25,291,11.3,1078.7,794.9,28,GA,30.22
218.9,0,124.1,158.5,25122.25,112,11.3,1078.7,794.9,56,GLM,37.27
218.9,0,124.1,158.5,25122.25,224,11.3,1078.7,794.9,100,GLM,46.23
376,0,0,214.6,46053.16,137,0,1003.5,762.4,3,GA,16.28
376,0,0,214.6,46053.16,263,0,1003.5,762.4,14,GA,25.62
376,0,0,214.6,46053.16,105,0,1003.5,762.4,28,GA,31.97
376,0,0,214.6,46053.16,116,0,1003.5,762.4,56,GA,36.3
376,0,0,214.6,46053.16,193,0,1003.5,762.4,100,GLM,43.06
500,0,0,140,19600,53,4,966,853,28,GA,67.57
475,0,59,142,20164,248,1.9,1098,641,28,GLM,57.23
315,137,0,145,21025,274,5.9,1130,745,28,GA,81.75
505,0,60,195,38025,162,0,1030,630,28,GLM,64.02
451,0,0,165,27225,167,11.3,1030,745,28,GLM,78.8
516,0,0,162,26244,123,8.2,801,802,28,GA,41.37
520,0,0,170,28900,89,5.2,855,855,28,GLM,60.28
528,0,0,185,34225,320,6.9,920,720,28,GLM,56.83
520,0,0,175,30625,273,5.2,870,805,28,GLM,51.02
385,0,136,158,24964,285,20,903,768,28,GLM,55.55
500.1,0,0,200,40000,65,3,1124.4,613.2,28,GA,44.13
450.1,50,0,200,40000,121,3,1124.4,613.2,28,GA,39.38
397,17.2,158,167,27889,19,20.8,967,633,28,GLM,55.65
333,17.5,163,167,27889,329,17.9,996,652,28,GA,47.28
334,17.6,158,189,35721,97,15.3,967,633,28,GLM,44.33
405,0,0,175,30625,105,0,1120,695,28,GLM,52.3
200,200,0,190,36100,43,0,1145,660,28,GA,49.25
516,0,0,162,26244,246,8.3,801,802,28,GLM,41.37
145,116,119,184,33856,177,5.7,833,880,28,GA,29.16
160,128,122,182,33124,221,6.4,824,879,28,GLM,39.4
234,156,0,189,35721,110,5.9,981,760,28,GLM,39.3
250,180,95,159,25281,181,9.5,860,800,28,GLM,67.87
475,0,0,162,26244,37,9.5,1044,662,28,GA,58.52
285,190,0,163,26569,221,7.6,1031,685,28,GLM,53.58
356,119,0,160,25600,24,9,1061,657,28,GLM,59
275,180,120,162,26244,206,10.4,830,765,28,GA,76.24
500,0,0,151,22801,257,9,1033,655,28,GA,69.84
165,0,143.6,163.8,26830.44,30,0,1005.6,900.9,3,GLM,14.4
165,128.5,132.1,175.1,30660.01,55,8.1,1005.8,746.6,3,GLM,19.42
178,129.8,118.6,179.9,32364.01,223,3.6,1007.3,746.8,3,GLM,20.73
167.4,129.9,128.6,175.5,30800.25,219,7.8,1006.3,746.6,3,GA,14.94
172.4,13.6,172.4,156.8,24586.24,46,4.1,1006.3,856.4,3,GA,21.29
173.5,50.1,173.5,164.8,27159.04,41,6.5,1006.2,793.5,3,GLM,23.08
167,75.4,167,164,26896,59,7.9,1007.3,770.1,3,GA,15.52
173.8,93.4,159.9,172.3,29687.29,83,9.7,1007.2,746.6,3,GLM,15.82
190.3,0,125.2,166.6,27755.56,292,9.9,1079,798.9,3,GLM,12.55
250,0,95.7,191.8,36787.24,192,5.3,948.9,857.2,3,GLM,8.49
213.5,0,174.2,159.2,25344.64,190,11.7,1043.6,771.9,3,GLM,15.61
194.7,0,100.5,170.2,28968.04,237,7.5,998,901.8,3,GLM,12.18
251.4,0,118.3,192.9,37210.41,276,5.8,1043.6,754.3,3,GA,11.98
165,0,143.6,163.8,26830.44,266,0,1005.6,900.9,14,GLM,16.88
165,128.5,132.1,175.1,30660.01,311,8.1,1005.8,746.6,14,GLM,33.09
178,129.8,118.6,179.9,32364.01,150,3.6,1007.3,746.8,14,GA,34.24
167.4,129.9,128.6,175.5,30800.25,223,7.8,1006.3,746.6,14,GA,31.81
172.4,13.6,172.4,156.8,24586.24,90,4.1,1006.3,856.4,14,GLM,29.75
173.5,50.1,173.5,164.8,27159.04,277,6.5,1006.2,793.5,,GLM,33.01
167,75.4,167,164,26896,126,7.9,1007.3,770.1,14,GA,32.9
173.8,93.4,159.9,172.3,29687.29,59,9.7,1007.2,746.6,14,GLM,29.55
190.3,0,125.2,166.6,27755.56,69,9.9,1079,798.9,14,GLM,19.42
250,0,95.7,191.8,36787.24,135,5.3,948.9,857.2,14,GA,24.66
213.5,0,174.2,159.2,25344.64,83,11.7,1043.6,771.9,14,GLM,29.59
194.7,0,100.5,170.2,28968.04,147,7.5,998,901.8,14,GA,24.28
251.4,0,118.3,192.9,37210.41,270,5.8,1043.6,754.3,14,GA,20.73
165,0,143.6,163.8,26830.44,59,0,1005.6,900.9,28,GA,26.2
165,128.5,132.1,175.1,30660.01,148,8.1,1005.8,746.6,28,GA,46.39
178,129.8,118.6,179.9,32364.01,63,3.6,1007.3,746.8,28,GLM,39.16
167.4,129.9,128.6,175.5,30800.25,233,7.8,1006.3,746.6,28,GLM,41.2
172.4,13.6,172.4,156.8,24586.24,260,4.1,1006.3,856.4,28,GA,33.69
173.5,50.1,173.5,164.8,27159.04,225,6.5,1006.2,793.5,28,GLM,38.2
167,75.4,167,164,26896,205,7.9,1007.3,770.1,28,GLM,41.41
173.8,93.4,159.9,172.3,29687.29,249,9.7,1007.2,746.6,28,GA,37.81
190.3,0,125.2,166.6,27755.56,284,9.9,1079,798.9,28,GLM,24.85
250,0,95.7,191.8,36787.24,64,5.3,948.9,857.2,28,GLM,27.22
213.5,0,174.2,159.2,25344.64,172,11.7,1043.6,771.9,28,GLM,44.64
194.7,0,100.5,170.2,28968.04,95,7.5,998,901.8,28,GA,37.27
251.4,0,118.3,192.9,37210.41,279,5.8,1043.6,754.3,28,GA,33.27
165,0,143.6,163.8,26830.44,108,0,1005.6,900.9,56,GLM,36.56
165,128.5,132.1,175.1,30660.01,104,8.1,1005.8,746.6,56,GA,53.72
178,129.8,118.6,179.9,32364.01,214,3.6,1007.3,746.8,56,GLM,48.59
167.4,129.9,128.6,175.5,30800.25,90,7.8,1006.3,746.6,56,GA,51.72
172.4,13.6,172.4,156.8,24586.24,261,4.1,1006.3,856.4,56,GLM,35.85
173.5,50.1,173.5,164.8,27159.04,301,6.5,1006.2,793.5,56,GLM,53.77
167,75.4,167,164,26896,83,7.9,1007.3,770.1,56,GLM,53.46
173.8,93.4,159.9,172.3,29687.29,131,9.7,1007.2,746.6,56,GLM,48.99
190.3,0,125.2,166.6,27755.56,141,9.9,1079,798.9,56,GLM,31.72
250,0,95.7,191.8,36787.24,317,5.3,948.9,857.2,56,GLM,39.64
213.5,0,174.2,159.2,25344.64,240,11.7,1043.6,771.9,56,GLM,51.26
194.7,0,100.5,170.2,28968.04,151,7.5,998,901.8,56,GLM,43.39
251.4,0,118.3,192.9,37210.41,15,5.8,1043.6,754.3,56,GLM,39.27
165,0,143.6,163.8,26830.44,82,0,1005.6,900.9,100,GLM,37.96
165,128.5,132.1,175.1,30660.01,65,8.1,1005.8,746.6,100,GA,55.02
178,129.8,118.6,179.9,32364.01,307,3.6,1007.3,746.8,100,GLM,49.99
167.4,129.9,128.6,175.5,30800.25,161,7.8,1006.3,746.6,100,GA,53.66
172.4,13.6,172.4,156.8,24586.24,228,4.1,1006.3,856.4,100,GA,37.68
173.5,50.1,173.5,164.8,27159.04,168,6.5,1006.2,793.5,100,GLM,56.06
167,75.4,167,164,26896,267,7.9,1007.3,770.1,100,GLM,56.81
173.8,93.4,159.9,172.3,29687.29,147,9.7,1007.2,746.6,100,GLM,50.94
190.3,0,125.2,166.6,27755.56,229,9.9,1079,798.9,100,GA,33.56
250,0,95.7,191.8,36787.24,47,5.3,948.9,857.2,100,GLM,41.16
213.5,0,174.2,159.2,25344.64,51,11.7,1043.6,771.9,100,GLM,52.96
194.7,0,100.5,170.2,28968.04,214,7.5,998,901.8,100,GLM,44.28
251.4,0,118.3,192.9,37210.41,45,5.8,1043.6,754.3,100,GLM,40.15
446,24,79,162,26244,206,11.6,967,712,28,GA,57.03
446,24,79,162,26244,186,11.6,967,712,28,GA,44.42
446,24,79,162,26244,226,11.6,967,712,28,GA,51.02
446,24,79,162,26244,60,10.3,967,,28,GLM,53.39
446,24,79,162,26244,328,11.6,967,712,3,GLM,35.36
446,24,79,162,26244,215,11.6,967,712,3,GA,25.02
446,24,79,162,26244,275,11.6,967,712,3,GA,23.35
446,24,79,162,26244,193,11.6,967,712,7,GA,52.01
446,24,79,162,26244,243,11.6,967,712,7,GLM,38.02
446,24,79,162,26244,57,11.6,967,712,7,GA,39.3
446,24,79,162,26244,110,11.6,967,712,56,GLM,61.07
446,24,79,162,26244,84,11.6,967,712,56,GLM,56.14
446,24,79,162,26244,282,11.6,967,712,56,GLM,55.25
446,24,79,162,26244,56,10.3,967,712,56,GLM,54.77
387,20,94,157,24649,144,14.3,938,845,28,GLM,50.24
387,20,94,157,24649,148,13.9,938,845,28,GA,46.68
387,20,94,157,24649,169,11.6,938,845,28,GLM,46.68
387,20,94,157,24649,317,14.3,938,845,3,GA,22.75
387,20,94,157,24649,151,13.9,938,845,3,GA,25.51
387,20,94,157,24649,184,11.6,938,845,3,GLM,34.77
387,20,94,157,24649,200,14.3,938,845,7,GA,36.84
387,20,94,157,24649,230,13.9,938,845,7,GLM,45.9
387,20,94,157,24649,191,11.6,938,845,7,GA,41.67
387,20,94,157,24649,92,14.3,938,845,56,GLM,56.34
387,20,94,157,24649,237,13.9,938,845,56,GA,47.97
387,20,94,157,24649,164,11.6,938,845,56,GLM,61.46
355,19,97,145,21025,219,13.1,,871,28,GA,44.03
355,19,97,145,21025,122,12.3,967,871,28,GLM,55.45
491,26,123,210,44100,28,3.9,882,699,28,GA,55.55
491,26,123,201,40401,267,3.9,822,699,28,GLM,57.92
491,26,123,210,44100,86,3.9,882,699,3,GLM,25.61
491,26,123,210,44100,152,3.9,882,699,7,GLM,33.49
491,26,123,210,44100,273,,882,699,56,GA,59.59
491,26,123,201,40401,315,3.9,822,699,3,GLM,29.55
491,26,123,201,40401,289,3.9,822,699,7,GA,37.92
491,26,123,201,40401,184,3.9,822,699,56,GA,61.86
424,,132,178,31684,301,8.5,822,750,28,GLM,62.05
424,22,132,178,31684,305,8.5,882,750,3,GA,32.01
424,22,132,168,28224,71,8.9,822,750,28,GLM,72.1
424,22,132,178,31684,257,8.5,822,750,7,GLM,39
424,22,132,178,31684,98,8.5,822,750,56,GLM,65.7
424,22,132,168,28224,87,8.9,822,750,3,GLM,32.11
424,22,132,168,28224,53,8.9,822,750,7,GA,40.29
424,22,132,168,28224,237,8.9,822,750,56,GA,74.36
202,11,141,206,42436,53,1.7,942,801,28,GA,21.97
202,11,141,206,42436,39,1.7,942,801,3,GLM,9.85
202,11,141,206,42436,118,1.7,942,801,7,GLM,15.07
202,11,141,206,42436,237,1.7,942,801,56,GA,23.25
284,15,141,179,32041,29,5.5,842,801,28,GLM,43.73
284,15,141,179,32041,30,5.5,842,801,3,GLM,13.4
284,15,141,179,32041,89,5.5,842,801,7,GLM,24.13
284,15,141,179,32041,161,5.5,842,801,56,GA,44.52
359,19,141,154,23716,312,10.9,942,801,28,GLM,62.94
359,19,141,154,23716,240,10.9,942,801,28,GLM,59.49
359,19,141,154,23716,222,10.9,942,801,3,GLM,25.12
359,19,141,154,23716,114,10.9,942,801,3,GLM,23.64
359,19,141,154,23716,137,10.9,942,801,7,GA,35.75
359,19,141,154,23716,206,10.9,942,801,7,GLM,38.61
359,19,141,154,23716,261,10.9,942,801,56,GLM,68.75
359,19,141,154,23716,284,10.9,942,801,56,GA,66.78
436,0,0,218,47524,262,0,838.4,719.7,28,GA,23.85
289,0,0,192,36864,98,0,913.2,895.3,90,GA,32.07
289,0,0,192,36864,212,0,913.2,895.3,3,GLM,11.65
393,0,0,192,36864,250,0,940.6,785.6,3,GA,19.2
393,0,0,192,36864,264,0,940.6,785.6,90,GLM,48.85
393,0,0,192,36864,292,0,940.6,785.6,28,GA,39.6
480,0,0,192,36864,175,0,936.2,712.2,28,GLM,43.94
480,0,0,192,36864,333,0,936.2,712.2,7,GA,34.57
480,0,0,192,36864,331,0,936.2,712.2,90,GLM,54.32
480,0,0,192,36864,177,0,936.2,712.2,3,GA,24.4
333,0,0,192,36864,20,0,931.2,842.6,3,GLM,15.62
255,0,0,192,36864,166,0,889.8,945,90,GLM,21.86
255,0,0,192,36864,197,0,889.8,945,7,GA,10.22
289,0,0,192,36864,107,0,913.2,895.3,7,GLM,14.6
255,0,0,192,36864,16,0,889.8,945,28,GLM,18.75
333,0,0,192,36864,280,0,931.2,842.6,28,GA,31.97
333,0,0,192,36864,69,0,931.2,842.6,7,GLM,23.4
289,0,0,192,36864,195,0,913.2,895.3,28,GLM,25.57
333,0,0,192,36864,127,0,931.2,842.6,90,GLM,41.68
393,0,0,192,36864,210,0,940.6,785.6,7,GLM,27.74
255,0,0,192,36864,19,0,889.8,945,3,GLM,8.2
158.8,238.2,0,185.7,34484.49,199,0,1040.6,734.3,7,GLM,9.62
239.6,359.4,0,185.7,34484.49,40,0,941.6,664.3,7,GLM,25.42
238.2,158.8,0,185.7,34484.49,67,0,1040.6,734.3,7,GLM,15.69
181.9,272.8,0,185.7,34484.49,229,0,1012.4,714.3,28,GLM,27.94
193.5,290.2,0,185.7,34484.49,60,0,998.2,704.3,28,GA,32.63
255.5,170.3,0,185.7,34484.49,224,0,1026.6,724.3,7,GLM,17.24
272.8,181.9,0,185.7,34484.49,153,0,1012.4,714.3,7,GA,19.77
239.6,359.4,0,185.7,34484.49,274,0,941.6,664.3,28,GLM,39.44
220.8,147.2,0,185.7,34484.49,322,0,1055,744.3,28,GLM,25.75
397,0,0,185.7,34484.49,172,0,1040.6,734.3,28,GLM,33.08
382.5,0,0,185.7,34484.49,78,0,1047.8,739.3,7,GLM,24.07
210.7,316.1,0,185.7,34484.49,35,0,977,689.3,7,GA,21.82
158.8,238.2,0,185.7,34484.49,309,0,1040.6,734.3,28,GA,21.07
295.8,0,0,185.7,34484.49,149,0,1091.4,769.3,7,GLM,14.84
255.5,170.3,0,185.7,34484.49,204,0,1026.6,724.3,28,GA,32.05
203.5,135.7,0,185.7,34484.49,27,0,1076.2,759.3,7,GLM,11.96
397,0,0,185.7,34484.49,271,0,1040.6,734.3,7,GLM,25.45
381.4,0,0,185.7,34484.49,328,0,1104.6,784.3,28,GLM,22.49
295.8,0,0,185.7,34484.49,197,0,1091.4,769.3,28,GLM,25.22
228,342.1,0,185.7,34484.49,33,0,955.8,674.3,28,GA,39.7
220.8,147.2,0,185.7,34484.49,237,0,1055,744.3,7,GLM,13.09
316.1,210.7,0,185.7,34484.49,332,0,977,689.3,28,GLM,38.7
135.7,203.5,0,185.7,34484.49,212,0,1076.2,759.3,7,GA,7.51
238.1,0,0,185.7,34484.49,97,0,1118.8,789.3,28,GLM,17.58
339.2,0,0,185.7,34484.49,309,0,1069.2,754.3,7,GLM,21.18
135.7,203.5,0,185.7,34484.49,276,0,1076.2,759.3,28,GA,18.2
193.5,290.2,0,185.7,34484.49,61,0,998.2,704.3,7,GLM,17.2
203.5,135.7,0,185.7,34484.49,213,0,1076.2,759.3,28,GA,22.63
290.2,193.5,0,185.7,34484.49,176,0,998.2,704.3,7,GLM,21.86
181.9,272.8,0,185.7,34484.49,319,0,1012.4,714.3,7,GLM,12.37
170.3,155.5,0,185.7,34484.49,99,0,1026.6,724.3,28,GLM,25.73
210.7,316.1,0,185.7,34484.49,212,0,977,689.3,28,GA,37.81
228,342.1,0,185.7,34484.49,298,0,955.8,674.3,7,GLM,21.92
290.2,193.5,0,185.7,34484.49,168,0,998.2,704.3,28,GA,33.04
381.4,0,0,185.7,34484.49,324,0,1104.6,784.3,7,GLM,14.54
238.2,158.8,0,185.7,34484.49,71,0,1040.6,734.3,28,GA,26.91
186.2,124.1,0,185.7,34484.49,30,0,1083.4,764.3,7,GA,8
339.2,0,0,185.7,34484.49,63,0,1069.2,754.3,28,GLM,31.9
238.1,0,0,185.7,34484.49,205,0,1118.8,789.3,7,GLM,10.34
252.5,0,0,185.7,34484.49,316,0,1111.6,784.3,28,GLM,19.77
382.5,0,0,185.7,34484.49,259,0,1047.8,739.3,28,GLM,37.44
252.5,0,0,185.7,34484.49,150,0,1111.6,784.3,7,GA,11.48
316.1,210.7,0,185.7,34484.49,136,0,977,689.3,7,GLM,24.44
186.2,124.1,0,185.7,34484.49,314,0,1083.4,764.3,28,GA,17.6
170.3,155.5,0,185.7,34484.49,151,0,1026.6,724.3,7,GA,10.73
272.8,181.9,0,185.7,34484.49,104,0,1012.4,714.3,28,GLM,31.38
339,0,0,197,38809,67,0,968,781,3,GA,13.22
339,0,0,197,38809,78,0,968,781,7,GLM,20.97
339,0,0,197,38809,84,0,968,781,14,GLM,27.04
339,0,0,197,38809,290,0,968,781,28,GA,32.04
339,0,0,197,38809,291,0,968,781,90,GLM,35.17
339,0,0,197,38809,35,0,968,781,180,GA,36.45
339,0,0,197,38809,269,0,968,781,365,GLM,38.89
236,0,0,194,37636,39,0,968,885,3,GLM,6.47
236,0,0,194,37636,301,0,968,885,14,GLM,12.84
236,0,0,194,37636,273,0,968,885,28,GLM,18.42
236,0,0,194,37636,211,0,968,885,90,GA,21.95
236,0,0,193,37249,157,0,968,885,180,GA,24.1
236,0,0,193,37249,225,0,968,885,365,GLM,25.08
277,0,0,191,36481,251,0,968,856,14,GLM,21.26
277,0,0,191,36481,287,0,968,856,28,GA,25.97
277,0,0,191,36481,39,0,968,856,3,GA,11.36
277,0,0,191,36481,118,0,968,856,90,GLM,31.25
277,0,0,191,36481,94,0,968,856,180,GLM,32.33
277,0,0,191,36481,106,0,968,856,360,GA,33.7
254,0,0,198,39204,38,0,968,863,3,GLM,9.31
254,0,0,198,39204,32,0,968,863,90,GLM,26.94
254,0,0,198,39204,134,0,968,863,180,GLM,27.63
254,0,0,198,39204,170,0,968,863,365,GA,29.79
307,0,0,193,37249,195,0,968,812,180,GLM,34.49
307,0,0,193,37249,94,0,968,812,365,GLM,36.15
307,0,0,193,37249,192,0,968,812,3,GLM,12.54
307,0,0,193,37249,204,0,968,812,28,GA,27.53
307,0,0,193,37249,96,0,968,812,90,GA,32.92
236,0,0,193,37249,134,0,968,885,7,GA,9.99
200,0,0,180,32400,58,0,1125,845,7,GA,7.84
200,0,0,180,32400,225,0,1125,845,28,GLM,12.25
225,0,0,181,32761,297,0,1113,833,7,GA,11.17
225,0,0,181,32761,168,0,1113,833,28,GA,17.34
325,0,0,184,33856,290,0,1063,783,7,GA,17.54
325,0,0,184,33856,267,0,1063,783,28,GLM,30.57
275,0,0,183,33489,248,0,1088,808,7,GA,14.2
275,0,0,183,33489,46,0,1088,808,28,GLM,24.5
300,0,0,184,33856,177,0,1075,795,7,GA,15.58
300,0,0,184,33856,123,0,1075,795,28,GLM,26.85
375,0,0,186,34596,153,0,1038,758,7,GLM,26.06
375,0,0,186,34596,197,0,1038,758,28,GLM,38.21
400,0,0,187,34969,148,0,1025,745,28,GLM,43.7
400,0,0,187,34969,191,0,1025,745,7,GLM,30.14
250,0,0,182,33124,24,0,1100,820,7,GLM,12.73
250,0,0,182,33124,124,0,1100,820,28,GA,20.87
350,0,0,186,34596,35,0,1050,770,7,GLM,20.28
350,0,0,186,34596,322,0,1050,770,28,GA,34.29
203.5,305.3,0,203.5,41412.25,144,0,963.4,630,7,GA,19.54
250.2,166.8,0,203.5,41412.25,195,0,977.6,694.1,90,GLM,47.71
157,236,0,192,36864,272,0,935.4,781.2,90,GA,43.38
141.3,212,0,203.5,41412.25,80,0,971.8,748.5,28,GLM,29.89
166.8,250.2,0,203.5,41412.25,233,0,975.6,692.6,3,GLM,6.9
122.6,183.9,0,203.5,41412.25,90,0,958.2,800.1,90,GLM,33.19
183.9,122.6,0,203.5,41412.25,318,0,959.2,800,3,GLM,4.9
102,153,0,192,36864,178,0,887,942,3,GA,4.57
102,153,0,192,36864,298,0,887,942,90,GLM,25.46
122.6,183.9,0,203.5,41412.25,256,0,958.2,800.1,28,GA,24.29
166.8,250.2,0,203.5,41412.25,276,0,975.6,692.6,28,GA,33.95
200,133,0,192,36864,41,0,965.4,806.2,3,GA,11.41
108.3,162.4,0,203.5,41412.25,106,0,938.2,849,28,GLM,20.59
305.3,203.5,0,203.5,41412.25,69,0,965.4,631,7,GLM,25.89
108.3,162.4,0,203.5,41412.25,206,0,938.2,849,90,GLM,29.23
116,173,0,192,36864,222,0,909.8,891.9,90,GA,31.02
141.3,212,0,203.5,41412.25,25,0,971.8,748.5,7,GLM,10.39
157,236,0,192,36864,139,0,935.4,781.2,28,GA,33.66
133,200,0,192,36864,321,0,927.4,839.2,28,GA,27.87
250.2,166.8,0,203.5,41412.25,126,0,977.6,694.1,7,GLM,19.35
173,116,0,192,36864,24,0,946.8,856.8,7,GLM,11.39
192,288,0,192,36864,133,0,929.8,716.1,3,GA,12.79
192,288,0,192,36864,315,0,929.8,716.1,28,GLM,39.32
153,102,0,192,36864,274,0,888,943.1,3,GA,4.78
288,192,0,192,36864,145,0,932,717.8,3,GLM,16.11
305.3,203.5,0,203.5,41412.25,214,0,965.4,631,28,GLM,43.38
236,157,0,192,36864,157,0,972.6,749.1,7,GA,20.42
173,116,0,192,36864,195,0,946.8,856.8,3,GA,6.94
212,141.3,0,203.5,41412.25,209,0,973.4,750,7,GA,15.03
236,157,0,192,36864,104,0,972.6,749.1,3,GA,13.57
183.9,122.6,0,203.5,41412.25,200,0,959.2,800,90,GLM,32.53
166.8,250.2,0,203.5,41412.25,57,0,975.6,692.6,7,GLM,15.75
102,153,0,192,36864,167,0,887,942,7,GA,7.68
288,192,0,192,36864,16,0,932,717.8,28,GLM,38.8
212,141.3,0,203.5,41412.25,146,0,973.4,750,28,GA,33
102,153,0,192,36864,119,0,887,942,28,GLM,17.28
173,116,0,192,36864,110,0,946.8,856.8,28,GLM,24.28
183.9,122.6,0,203.5,41412.25,111,0,959.2,800,28,GA,24.05
133,200,0,192,36864,32,0,927.4,839.2,90,GA,36.59
192,288,0,192,36864,204,0,929.8,716.1,90,GLM,50.73
133,200,0,192,36864,182,0,927.4,839.2,7,GA,13.66
305.3,203.5,0,203.5,41412.25,303,0,965.4,631,3,GLM,14.14
236,157,0,192,36864,259,0,972.6,749.1,90,GLM,47.78
108.3,162.4,0,203.5,41412.25,298,0,938.2,849,3,GLM,2.33
157,236,0,192,36864,222,0,935.4,781.2,7,GA,16.89
288,192,0,192,36864,74,0,932,717.8,7,GLM,23.52
212,141.3,0,203.5,41412.25,261,0,973.4,750,3,GLM,6.81
212,141.3,0,203.5,41412.25,155,0,973.4,750,90,GLM,39.7
153,102,0,192,36864,212,0,888,943.1,28,GLM,17.96
236,157,0,192,36864,70,0,972.6,749.1,28,GLM,32.88
116,173,0,192,36864,116,0,909.8,891.9,28,GLM,22.35
183.9,122.6,0,203.5,41412.25,136,0,959.2,800,7,GA,10.79
108.3,162.4,0,203.5,41412.25,99,0,938.2,849,7,GLM,7.72
203.5,305.3,0,203.5,41412.25,105,0,963.4,630,28,GLM,41.68
203.5,305.3,0,203.5,41412.25,22,0,963.4,630,3,GLM,9.56
133,200,0,192,36864,54,0,927.4,839.2,3,GLM,6.88
288,192,0,192,36864,170,0,932,717.8,90,GA,50.53
200,133,0,192,36864,234,0,965.4,806.2,7,GLM,17.17
200,133,0,192,36864,320,0,965.4,806.2,28,GA,30.44
250.2,166.8,0,203.5,41412.25,284,0,977.6,694.1,3,GLM,9.73
122.6,183.9,0,203.5,41412.25,43,0,958.2,800.1,3,GA,3.32
153,102,0,192,36864,153,0,888,943.1,90,GA,26.32
200,133,0,192,36864,133,0,965.4,806.2,90,GLM,43.25
116,173,0,192,36864,149,0,909.8,891.9,3,GA,6.28
173,116,0,192,36864,331,0,946.8,856.8,90,GA,32.1
250.2,166.8,0,203.5,41412.25,198,0,977.6,694.1,28,GA,36.96
305.3,203.5,0,203.5,41412.25,161,0,965.4,631,90,GA,54.6
192,288,0,192,36864,312,0,929.8,716.1,7,GA,21.48
157,236,0,192,36864,206,0,935.4,781.2,3,GLM,9.69
153,102,0,192,36864,49,0,888,943.1,7,GA,8.37
141.3,212,0,203.5,41412.25,303,0,971.8,748.5,90,GA,39.66
116,173,0,192,36864,185,0,909.8,891.9,7,GLM,10.09
141.3,212,0,203.5,41412.25,239,0,971.8,748.5,3,GA,4.83
122.6,183.9,0,203.5,41412.25,233,0,958.2,800.1,7,GA,10.35
166.8,250.2,0,203.5,41412.25,241,0,975.6,692.6,90,GA,43.57
203.5,305.3,0,203.5,41412.25,182,0,963.4,630,90,GLM,51.86
310,0,0,192,36864,217,0,1012,830,3,GLM,11.85
310,0,0,192,36864,235,0,1012,830,7,GLM,17.24
310,0,0,192,36864,324,0,1012,830,28,GA,27.83
310,0,0,192,36864,130,0,1012,830,90,GLM,35.76
310,0,0,192,36864,129,0,1012,830,120,GA,38.7
331,0,0,192,36864,163,0,1025,821,3,GA,14.31
331,0,0,192,36864,221,0,1025,821,7,GA,17.44
331,0,0,192,36864,85,0,1025,821,28,GA,31.74
331,0,0,192,36864,331,0,1025,821,90,GA,37.91
331,0,0,192,36864,209,0,1025,821,120,GA,39.38
349,0,0,192,36864,129,0,1056,809,3,GLM,15.87
349,0,0,192,36864,319,0,1056,809,7,GA,9.01
349,0,0,192,36864,182,0,1056,809,28,GLM,33.61
349,0,0,192,36864,124,0,1056,809,90,GLM,40.66
349,0,0,192,36864,202,0,1056,809,120,GLM,40.86
238,0,0,186,34596,36,0,1119,789,7,GA,12.05
238,0,0,186,34596,71,0,1119,789,28,GLM,17.54
296,0,0,186,34596,279,0,1090,769,7,GLM,18.91
296,0,0,186,34596,327,0,1090,769,28,GLM,25.18
297,0,0,186,34596,112,0,1040,734,7,GLM,30.96
480,0,0,192,36864,194,0,936,721,28,GLM,43.89
480,0,0,192,36864,61,0,936,721,90,GA,54.28
397,0,0,186,34596,301,0,1040,734,28,GLM,36.94
281,0,0,186,34596,90,0,1104,774,7,GA,14.5
281,0,0,185,34225,310,0,1104,774,28,GLM,22.44
500,0,0,200,40000,36,0,1125,613,1,GLM,12.64
